,dcm_path,gt_path
0,"../DATA/CT_data_batch1/1/DICOM_anon/i0058,0000b.dcm",../DATA/CT_data_batch1/1/Ground/liver_GT_058.png
1,"../DATA/CT_data_batch1/14/DICOM_anon/i0022,0000b.dcm",../DATA/CT_data_batch1/14/Ground/liver_GT_022.png
2,"../DATA/CT_data_batch1/14/DICOM_anon/i0089,0000b.dcm",../DATA/CT_data_batch1/14/Ground/liver_GT_089.png
3,"../DATA/CT_data_batch1/19/DICOM_anon/i0000,0000b.dcm",../DATA/CT_data_batch1/19/Ground/liver_GT_000.png
4,"../DATA/CT_data_batch1/2/DICOM_anon/i0027,0000b.dcm",../DATA/CT_data_batch1/2/Ground/liver_GT_027.png
5,"../DATA/CT_data_batch1/8/DICOM_anon/i0068,0000b.dcm",../DATA/CT_data_batch1/8/Ground/liver_GT_068.png
6,"../DATA/CT_data_batch1/1/DICOM_anon/i0072,0000b.dcm",../DATA/CT_data_batch1/1/Ground/liver_GT_072.png
7,"../DATA/CT_data_batch1/5/DICOM_anon/i0021,0000b.dcm",../DATA/CT_data_batch1/5/Ground/liver_GT_021.png
8,"../DATA/CT_data_batch1/10/DICOM_anon/i0099,0000b.dcm",../DATA/CT_data_batch1/10/Ground/liver_GT_099.png
9,"../DATA/CT_data_batch1/5/DICOM_anon/i0018,0000b.dcm",../DATA/CT_data_batch1/5/Ground/liver_GT_018.png
10,"../DATA/CT_data_batch1/19/DICOM_anon/i0013,0000b.dcm",../DATA/CT_data_batch1/19/Ground/liver_GT_013.png
11,"../DATA/CT_data_batch1/10/DICOM_anon/i0054,0000b.dcm",../DATA/CT_data_batch1/10/Ground/liver_GT_054.png
12,"../DATA/CT_data_batch1/1/DICOM_anon/i0013,0000b.dcm",../DATA/CT_data_batch1/1/Ground/liver_GT_013.png
13,"../DATA/CT_data_batch1/14/DICOM_anon/i0044,0000b.dcm",../DATA/CT_data_batch1/14/Ground/liver_GT_044.png
14,"../DATA/CT_data_batch1/8/DICOM_anon/i0065,0000b.dcm",../DATA/CT_data_batch1/8/Ground/liver_GT_065.png
15,"../DATA/CT_data_batch1/5/DICOM_anon/i0080,0000b.dcm",../DATA/CT_data_batch1/5/Ground/liver_GT_080.png
16,"../DATA/CT_data_batch1/19/DICOM_anon/i0078,0000b.dcm",../DATA/CT_data_batch1/19/Ground/liver_GT_078.png
17,../DATA/MR_data_batch1/13/T2SPIR/DICOM_anon/IMG-0061-00012.dcm,../DATA/MR_data_batch1/13/T2SPIR/Ground/liver_019.png
18,../DATA/MR_data_batch1/13/T2SPIR/DICOM_anon/IMG-0061-00025.dcm,../DATA/MR_data_batch1/13/T2SPIR/Ground/liver_001.png
19,../DATA/MR_data_batch1/20/T2SPIR/DICOM_anon/IMG-0029-00023.dcm,../DATA/MR_data_batch1/20/T2SPIR/Ground/liver_014.png
20,"../DATA/CT_data_batch1/6/DICOM_anon/i0071,0000b.dcm",../DATA/CT_data_batch1/6/Ground/liver_GT_071.png
21,"../DATA/CT_data_batch1/5/DICOM_anon/i0094,0000b.dcm",../DATA/CT_data_batch1/5/Ground/liver_GT_094.png
22,../DATA/MR_data_batch1/3/T2SPIR/DICOM_anon/IMG-0002-00010.dcm,../DATA/MR_data_batch1/3/T2SPIR/Ground/liver_001.png
23,"../DATA/CT_data_batch1/14/DICOM_anon/i0072,0000b.dcm",../DATA/CT_data_batch1/14/Ground/liver_GT_072.png
24,"../DATA/CT_data_batch1/18/DICOM_anon/i0028,0000b.dcm",../DATA/CT_data_batch1/18/Ground/liver_GT_028.png
25,"../DATA/CT_data_batch1/6/DICOM_anon/i0005,0000b.dcm",../DATA/CT_data_batch1/6/Ground/liver_GT_005.png
26,"../DATA/CT_data_batch1/8/DICOM_anon/i0013,0000b.dcm",../DATA/CT_data_batch1/8/Ground/liver_GT_013.png
27,"../DATA/CT_data_batch1/10/DICOM_anon/i0051,0000b.dcm",../DATA/CT_data_batch1/10/Ground/liver_GT_051.png
28,../DATA/MR_data_batch1/19/T2SPIR/DICOM_anon/IMG-0024-00002.dcm,../DATA/MR_data_batch1/19/T2SPIR/Ground/liver_018.png
29,"../DATA/CT_data_batch1/5/DICOM_anon/i0044,0000b.dcm",../DATA/CT_data_batch1/5/Ground/liver_GT_044.png
30,"../DATA/CT_data_batch1/14/DICOM_anon/i0027,0000b.dcm",../DATA/CT_data_batch1/14/Ground/liver_GT_027.png
31,"../DATA/CT_data_batch1/10/DICOM_anon/i0044,0000b.dcm",../DATA/CT_data_batch1/10/Ground/liver_GT_044.png
32,"../DATA/CT_data_batch1/16/DICOM_anon/i0002,0000b.dcm",../DATA/CT_data_batch1/16/Ground/liver_GT_002.png
33,"../DATA/CT_data_batch1/6/DICOM_anon/i0049,0000b.dcm",../DATA/CT_data_batch1/6/Ground/liver_GT_049.png
34,"../DATA/CT_data_batch1/19/DICOM_anon/i0071,0000b.dcm",../DATA/CT_data_batch1/19/Ground/liver_GT_071.png
35,"../DATA/CT_data_batch1/8/DICOM_anon/i0017,0000b.dcm",../DATA/CT_data_batch1/8/Ground/liver_GT_017.png
36,../DATA/MR_data_batch1/5/T2SPIR/DICOM_anon/IMG-0014-00007.dcm,../DATA/MR_data_batch1/5/T2SPIR/Ground/liver_029.png
37,"../DATA/CT_data_batch1/8/DICOM_anon/i0082,0000b.dcm",../DATA/CT_data_batch1/8/Ground/liver_GT_082.png
38,"../DATA/CT_data_batch1/10/DICOM_anon/i0008,0000b.dcm",../DATA/CT_data_batch1/10/Ground/liver_GT_008.png
39,"../DATA/CT_data_batch1/14/DICOM_anon/i0069,0000b.dcm",../DATA/CT_data_batch1/14/Ground/liver_GT_069.png
40,"../DATA/CT_data_batch1/16/DICOM_anon/i0044,0000b.dcm",../DATA/CT_data_batch1/16/Ground/liver_GT_044.png
41,"../DATA/CT_data_batch1/1/DICOM_anon/i0053,0000b.dcm",../DATA/CT_data_batch1/1/Ground/liver_GT_053.png
42,"../DATA/CT_data_batch1/5/DICOM_anon/i0050,0000b.dcm",../DATA/CT_data_batch1/5/Ground/liver_GT_050.png
43,"../DATA/CT_data_batch1/2/DICOM_anon/i0005,0000b.dcm",../DATA/CT_data_batch1/2/Ground/liver_GT_005.png
44,"../DATA/CT_data_batch1/6/DICOM_anon/i0002,0000b.dcm",../DATA/CT_data_batch1/6/Ground/liver_GT_002.png
45,"../DATA/CT_data_batch1/10/DICOM_anon/i0078,0000b.dcm",../DATA/CT_data_batch1/10/Ground/liver_GT_078.png
46,"../DATA/CT_data_batch1/5/DICOM_anon/i0007,0000b.dcm",../DATA/CT_data_batch1/5/Ground/liver_GT_007.png
47,"../DATA/CT_data_batch1/10/DICOM_anon/i0003,0000b.dcm",../DATA/CT_data_batch1/10/Ground/liver_GT_003.png
48,"../DATA/CT_data_batch1/10/DICOM_anon/i0038,0000b.dcm",../DATA/CT_data_batch1/10/Ground/liver_GT_038.png
49,"../DATA/CT_data_batch1/8/DICOM_anon/i0012,0000b.dcm",../DATA/CT_data_batch1/8/Ground/liver_GT_012.png
50,"../DATA/CT_data_batch1/16/DICOM_anon/i0021,0000b.dcm",../DATA/CT_data_batch1/16/Ground/liver_GT_021.png
51,"../DATA/CT_data_batch1/16/DICOM_anon/i0020,0000b.dcm",../DATA/CT_data_batch1/16/Ground/liver_GT_020.png
52,../DATA/MR_data_batch1/3/T2SPIR/DICOM_anon/IMG-0002-00001.dcm,../DATA/MR_data_batch1/3/T2SPIR/Ground/liver_027.png
53,"../DATA/CT_data_batch1/14/DICOM_anon/i0051,0000b.dcm",../DATA/CT_data_batch1/14/Ground/liver_GT_051.png
54,../DATA/MR_data_batch1/8/T2SPIR/DICOM_anon/IMG-0031-00015.dcm,../DATA/MR_data_batch1/8/T2SPIR/Ground/liver_023.png
55,"../DATA/CT_data_batch1/6/DICOM_anon/i0050,0000b.dcm",../DATA/CT_data_batch1/6/Ground/liver_GT_050.png
56,"../DATA/CT_data_batch1/8/DICOM_anon/i0093,0000b.dcm",../DATA/CT_data_batch1/8/Ground/liver_GT_093.png
57,"../DATA/CT_data_batch1/5/DICOM_anon/i0070,0000b.dcm",../DATA/CT_data_batch1/5/Ground/liver_GT_070.png
58,../DATA/MR_data_batch1/19/T2SPIR/DICOM_anon/IMG-0024-00003.dcm,../DATA/MR_data_batch1/19/T2SPIR/Ground/liver_026.png
